node6  | [entrypoint] Starting ADVERSARY node node6
node6  | 09:45:21 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=8 digest=b80b2e6f… to node2
node6  | 09:45:21 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=8 digest=deadbeef… to node3
node6  | 09:45:21 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=8 digest=deadbeef… to node4
node6  | 09:45:21 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=8 digest=deadbeef… to node5
node6  | 09:45:21 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent forged PRE-PREPARE to node2 seq=8
node6  | 09:45:22 [node6[ADVERSARY]] WARNING [ADVERSARY] Equivocating PREPARE for seq=9
node6  | 09:45:22 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=9 digest=6c5faf5a… to node1
node6  | 09:45:22 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=9 digest=6c5faf5a… to node2
node6  | 09:45:22 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=9 digest=deadbeef… to node3
node6  | 09:45:22 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=9 digest=deadbeef… to node4
node6  | 09:45:22 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=9 digest=deadbeef… to node5
node6  | 09:45:22 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent forged PRE-PREPARE to node5 seq=9
node6  | 09:45:23 [node6[ADVERSARY]] WARNING [ADVERSARY] Equivocating PREPARE for seq=10
node6  | 09:45:23 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=10 digest=eb07eb9d… to node1
node6  | 09:45:23 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=10 digest=eb07eb9d… to node2
node6  | 09:45:23 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=10 digest=deadbeef… to node3
node6  | 09:45:23 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=10 digest=deadbeef… to node4
node6  | 09:45:23 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=10 digest=deadbeef… to node5
node6  | 09:45:23 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent forged PRE-PREPARE to node2 seq=10
node6  | 09:45:24 [node6[ADVERSARY]] WARNING [ADVERSARY] Equivocating PREPARE for seq=11
node6  | 09:45:24 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=11 digest=579c114b… to node1
node6  | 09:45:24 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=11 digest=579c114b… to node2
node6  | 09:45:24 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=11 digest=deadbeef… to node3
